"GPU架构","Compute Capability","对应GPU硬件型号","请下载以下CUDA版本的飞桨安装包"
"Fermi","sm_20","GeForce 400、 500、 600、 GT-630","不支持"
"Kepler","sm_30","GeForce 700、 GT-730","不支持"
"Kepler","sm_35","Tesla K40","CUDA10"
"Kepler","sm_37","Tesla K80","CUDA10"
"Maxwell","sm_50","Tesla/Quadro M series","CUDA10、CUDA11"
"Maxwell","sm_52","Quadro M6000 、 GeForce 900、 GTX-970、 GTX-980、 GTX Titan X","CUDA10、CUDA11"
"Pascal","sm_60","Quadro GP100、Tesla P100","CUDA10、CUDA11"
"Pascal","sm_61","GTX 1080、 GTX 1070、 GTX 1060、 GTX 1050、 GTX 1030 (GP108)、 GT 1010 (GP108) Titan Xp、 Tesla P40、 Tesla P4","CUDA10、CUDA11"
"Volta","sm_70","DGX-1 with Volta、 Tesla V100、 GTX 1180 (GV104)、 Titan V、 Quadro GV100","CUDA10、CUDA11"
"Turing","sm_75","GTX/RTX Turing _ GTX 1660 Ti、 RTX 2060、 RTX 2070、 RTX 2080、 Titan RTX、 Quadro RTX 4000、 Quadro RTX 5000、 Quadro RTX 6000、 Quadro RTX 8000、 Quadro T1000/T2000、 Tesla T4","CUDA10、CUDA11"
"Ampere","sm_80","NVIDIA A100、 GA100、 NVIDIA DGX-A100","CUDA11"
"Ampere","sm_86","Tesla GA10x cards、 RTX Ampere _ RTX 3080、 GA102 _ RTX 3090、 RTX A2000、 A3000、 RTX A4000、 A5000、 A6000、 NVIDIA A40、 GA106 _ RTX 3060、 GA104 _ RTX 3070、 GA107 _ RTX 3050、 RTX A10、 RTX A16、 RTX A40、 A2 Tensor Core GPU","CUDA11、CUDA11.2（推荐）"
